domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
marine,0,36,0,0,1946,01,     0
marine,0,36,0,0,1946,02,     0
marine,0,36,0,0,1946,03,     0
marine,0,36,0,0,1946,04,     0
marine,0,36,0,0,1946,05,     0
marine,0,36,0,0,1946,06,     0
marine,0,36,0,0,1946,07,     0
marine,0,36,0,0,1946,08,     0
marine,0,36,0,0,1946,09,     0
marine,0,36,0,0,1946,10,     0
marine,0,36,0,0,1946,11,     0
marine,0,36,0,0,1946,12,     0
marine,0,36,0,0,1947,01,     0
marine,0,36,0,0,1947,02,     0
marine,0,36,0,0,1947,03,     0
marine,0,36,0,0,1947,04,     0
marine,0,36,0,0,1947,05,     0
marine,0,36,0,0,1947,06,     0
marine,0,36,0,0,1947,07,     0
marine,0,36,0,0,1947,08,     0
marine,0,36,0,0,1947,09,     0
marine,0,36,0,0,1947,10,     0
marine,0,36,0,0,1947,11,     0
marine,0,36,0,0,1947,12,     0
marine,0,36,0,0,1948,01,     0
marine,0,36,0,0,1948,02,     0
marine,0,36,0,0,1948,03,     0
marine,0,36,0,0,1948,04,     0
marine,0,36,0,0,1948,05,     0
marine,0,36,0,0,1948,06,     0
marine,0,36,0,0,1948,07,     0
marine,0,36,0,0,1948,08,     0
marine,0,36,0,0,1948,09,     0
marine,0,36,0,0,1948,10,     0
marine,0,36,0,0,1948,11,     0
marine,0,36,0,0,1948,12,     0
marine,0,36,0,0,1949,01,     0
marine,0,36,0,0,1949,02,     0
marine,0,36,0,0,1949,03,     0
marine,0,36,0,0,1949,04,     0
marine,0,36,0,0,1949,05,     0
marine,0,36,0,0,1949,06,     0
marine,0,36,0,0,1949,07,     0
marine,0,36,0,0,1949,08,     0
marine,0,36,0,0,1949,09,     0
marine,0,36,0,0,1949,10,     0
marine,0,36,0,0,1949,11,     0
marine,0,36,0,0,1949,12,     0
marine,0,36,0,0,1950,01, 238134
marine,0,36,0,0,1950,02, 221833
marine,0,36,0,0,1950,03, 261656
marine,0,36,0,0,1950,04, 236389
marine,0,36,0,0,1950,05, 252169
marine,0,36,0,0,1950,06, 244717
marine,0,36,0,0,1950,07, 261355
marine,0,36,0,0,1950,08, 263612
marine,0,36,0,0,1950,09, 257376
marine,0,36,0,0,1950,10, 276760
marine,0,36,0,0,1950,11, 266306
marine,0,36,0,0,1950,12, 279827
marine,0,36,0,0,1951,01, 301790
marine,0,36,0,0,1951,02, 284175
marine,0,36,0,0,1951,03, 318707
marine,0,36,0,0,1951,04, 308949
marine,0,36,0,0,1951,05, 308668
marine,0,36,0,0,1951,06, 313700
marine,0,36,0,0,1951,07, 342190
marine,0,36,0,0,1951,08, 359107
marine,0,36,0,0,1951,09, 357425
marine,0,36,0,0,1951,10, 361690
marine,0,36,0,0,1951,11, 350221
marine,0,36,0,0,1951,12, 350773
marine,0,36,0,0,1952,01, 374614
marine,0,36,0,0,1952,02, 396226
marine,0,36,0,0,1952,03, 428348
marine,0,36,0,0,1952,04, 404754
marine,0,36,0,0,1952,05, 401767
marine,0,36,0,0,1952,06, 407787
marine,0,36,0,0,1952,07, 420185
marine,0,36,0,0,1952,08, 422110
marine,0,36,0,0,1952,09, 427934
marine,0,36,0,0,1952,10, 440622
marine,0,36,0,0,1952,11, 399681
marine,0,36,0,0,1952,12, 384457
marine,0,36,0,0,1953,01, 430052
marine,0,36,0,0,1953,02, 408805
marine,0,36,0,0,1953,03,     0
marine,0,36,0,0,1953,04, 443455
marine,0,36,0,0,1953,05, 483247
marine,0,36,0,0,1953,06, 470362
marine,0,36,0,0,1953,07, 496472
marine,0,36,0,0,1953,08, 505739
marine,0,36,0,0,1953,09, 477388
marine,0,36,0,0,1953,10, 494006
marine,0,36,0,0,1953,11, 455410
marine,0,36,0,0,1953,12, 435804
marine,0,36,0,0,1954,01, 440758
marine,0,36,0,0,1954,02, 426080
marine,0,36,0,0,1954,03, 462391
marine,0,36,0,0,1954,04, 440663
marine,0,36,0,0,1954,05, 469089
