path_prefix|batch_id|of_n_batches|batch_length
daily/CDM_lite_FirstRelease_ACW00011*|daily-CDM_lite_FirstRelease_ACW00011|5489|2
daily/CDM_lite_FirstRelease_AE000041*|daily-CDM_lite_FirstRelease_AE000041|5489|1
daily/CDM_lite_FirstRelease_AEM00041*|daily-CDM_lite_FirstRelease_AEM00041|5489|3
daily/CDM_lite_FirstRelease_AF000040*|daily-CDM_lite_FirstRelease_AF000040|5489|1
daily/CDM_lite_FirstRelease_AFM00040*|daily-CDM_lite_FirstRelease_AFM00040|5489|3
daily/CDM_lite_FirstRelease_AG000060*|daily-CDM_lite_FirstRelease_AG000060|5489|2
daily/CDM_lite_FirstRelease_AGE00135*|daily-CDM_lite_FirstRelease_AGE00135|5489|1
daily/CDM_lite_FirstRelease_AGE00147*|daily-CDM_lite_FirstRelease_AGE00147|5489|12
daily/CDM_lite_FirstRelease_AGM00060*|daily-CDM_lite_FirstRelease_AGM00060|5489|63
daily/CDM_lite_FirstRelease_AJ000037*|daily-CDM_lite_FirstRelease_AJ000037|5489|30
daily/CDM_lite_FirstRelease_ALM00013*|daily-CDM_lite_FirstRelease_ALM00013|5489|1
daily/CDM_lite_FirstRelease_AM000037*|daily-CDM_lite_FirstRelease_AM000037|5489|23
daily/CDM_lite_FirstRelease_AMM00037*|daily-CDM_lite_FirstRelease_AMM00037|5489|1
daily/CDM_lite_FirstRelease_AO000066*|daily-CDM_lite_FirstRelease_AO000066|5489|6
daily/CDM_lite_FirstRelease_AQC00914*|daily-CDM_lite_FirstRelease_AQC00914|5489|19
daily/CDM_lite_FirstRelease_AQW00061*|daily-CDM_lite_FirstRelease_AQW00061|5489|1
daily/CDM_lite_FirstRelease_AR000000*|daily-CDM_lite_FirstRelease_AR000000|5489|2
daily/CDM_lite_FirstRelease_AR000087*|daily-CDM_lite_FirstRelease_AR000087|5489|18
daily/CDM_lite_FirstRelease_AR000870*|daily-CDM_lite_FirstRelease_AR000870|5489|1
daily/CDM_lite_FirstRelease_AR000873*|daily-CDM_lite_FirstRelease_AR000873|5489|1
daily/CDM_lite_FirstRelease_AR000875*|daily-CDM_lite_FirstRelease_AR000875|5489|2
daily/CDM_lite_FirstRelease_AR000877*|daily-CDM_lite_FirstRelease_AR000877|5489|1
daily/CDM_lite_FirstRelease_ARM00087*|daily-CDM_lite_FirstRelease_ARM00087|5489|59
daily/CDM_lite_FirstRelease_ASM00094*|daily-CDM_lite_FirstRelease_ASM00094|5489|5
daily/CDM_lite_FirstRelease_ASN00001*|daily-CDM_lite_FirstRelease_ASN00001|5489|11
daily/CDM_lite_FirstRelease_ASN00002*|daily-CDM_lite_FirstRelease_ASN00002|5489|8
daily/CDM_lite_FirstRelease_ASN00003*|daily-CDM_lite_FirstRelease_ASN00003|5489|16
daily/CDM_lite_FirstRelease_ASN00004*|daily-CDM_lite_FirstRelease_ASN00004|5489|19
daily/CDM_lite_FirstRelease_ASN00005*|daily-CDM_lite_FirstRelease_ASN00005|5489|17
daily/CDM_lite_FirstRelease_ASN00006*|daily-CDM_lite_FirstRelease_ASN00006|5489|11
daily/CDM_lite_FirstRelease_ASN00007*|daily-CDM_lite_FirstRelease_ASN00007|5489|19
daily/CDM_lite_FirstRelease_ASN00008*|daily-CDM_lite_FirstRelease_ASN00008|5489|20
daily/CDM_lite_FirstRelease_ASN00009*|daily-CDM_lite_FirstRelease_ASN00009|5489|79
daily/CDM_lite_FirstRelease_ASN00010*|daily-CDM_lite_FirstRelease_ASN00010|5489|35
daily/CDM_lite_FirstRelease_ASN00011*|daily-CDM_lite_FirstRelease_ASN00011|5489|12
daily/CDM_lite_FirstRelease_ASN00012*|daily-CDM_lite_FirstRelease_ASN00012|5489|24
daily/CDM_lite_FirstRelease_ASN00013*|daily-CDM_lite_FirstRelease_ASN00013|5489|8
daily/CDM_lite_FirstRelease_ASN00014*|daily-CDM_lite_FirstRelease_ASN00014|5489|88
daily/CDM_lite_FirstRelease_ASN00015*|daily-CDM_lite_FirstRelease_ASN00015|5489|29
daily/CDM_lite_FirstRelease_ASN00016*|daily-CDM_lite_FirstRelease_ASN00016|5489|17
daily/CDM_lite_FirstRelease_ASN00017*|daily-CDM_lite_FirstRelease_ASN00017|5489|11
daily/CDM_lite_FirstRelease_ASN00018*|daily-CDM_lite_FirstRelease_ASN00018|5489|25
daily/CDM_lite_FirstRelease_ASN00019*|daily-CDM_lite_FirstRelease_ASN00019|5489|5
daily/CDM_lite_FirstRelease_ASN00020*|daily-CDM_lite_FirstRelease_ASN00020|5489|3
daily/CDM_lite_FirstRelease_ASN00021*|daily-CDM_lite_FirstRelease_ASN00021|5489|8
daily/CDM_lite_FirstRelease_ASN00022*|daily-CDM_lite_FirstRelease_ASN00022|5489|18
daily/CDM_lite_FirstRelease_ASN00023*|daily-CDM_lite_FirstRelease_ASN00023|5489|42
daily/CDM_lite_FirstRelease_ASN00024*|daily-CDM_lite_FirstRelease_ASN00024|5489|18
daily/CDM_lite_FirstRelease_ASN00025*|daily-CDM_lite_FirstRelease_ASN00025|5489|10
daily/CDM_lite_FirstRelease_ASN00026*|daily-CDM_lite_FirstRelease_ASN00026|5489|19
daily/CDM_lite_FirstRelease_ASN00027*|daily-CDM_lite_FirstRelease_ASN00027|5489|12
daily/CDM_lite_FirstRelease_ASN00028*|daily-CDM_lite_FirstRelease_ASN00028|5489|3
daily/CDM_lite_FirstRelease_ASN00029*|daily-CDM_lite_FirstRelease_ASN00029|5489|20
daily/CDM_lite_FirstRelease_ASN00030*|daily-CDM_lite_FirstRelease_ASN00030|5489|7
daily/CDM_lite_FirstRelease_ASN00031*|daily-CDM_lite_FirstRelease_ASN00031|5489|19
daily/CDM_lite_FirstRelease_ASN00032*|daily-CDM_lite_FirstRelease_ASN00032|5489|13
daily/CDM_lite_FirstRelease_ASN00033*|daily-CDM_lite_FirstRelease_ASN00033|5489|26
daily/CDM_lite_FirstRelease_ASN00034*|daily-CDM_lite_FirstRelease_ASN00034|5489|3
daily/CDM_lite_FirstRelease_ASN00035*|daily-CDM_lite_FirstRelease_ASN00035|5489|9
daily/CDM_lite_FirstRelease_ASN00036*|daily-CDM_lite_FirstRelease_ASN00036|5489|8
daily/CDM_lite_FirstRelease_ASN00037*|daily-CDM_lite_FirstRelease_ASN00037|5489|6
daily/CDM_lite_FirstRelease_ASN00038*|daily-CDM_lite_FirstRelease_ASN00038|5489|5
daily/CDM_lite_FirstRelease_ASN00039*|daily-CDM_lite_FirstRelease_ASN00039|5489|26
daily/CDM_lite_FirstRelease_ASN00040*|daily-CDM_lite_FirstRelease_ASN00040|5489|59
daily/CDM_lite_FirstRelease_ASN00041*|daily-CDM_lite_FirstRelease_ASN00041|5489|19
daily/CDM_lite_FirstRelease_ASN00042*|daily-CDM_lite_FirstRelease_ASN00042|5489|2
daily/CDM_lite_FirstRelease_ASN00043*|daily-CDM_lite_FirstRelease_ASN00043|5489|8
daily/CDM_lite_FirstRelease_ASN00044*|daily-CDM_lite_FirstRelease_ASN00044|5489|6
daily/CDM_lite_FirstRelease_ASN00045*|daily-CDM_lite_FirstRelease_ASN00045|5489|5
daily/CDM_lite_FirstRelease_ASN00046*|daily-CDM_lite_FirstRelease_ASN00046|5489|8
daily/CDM_lite_FirstRelease_ASN00047*|daily-CDM_lite_FirstRelease_ASN00047|5489|8
daily/CDM_lite_FirstRelease_ASN00048*|daily-CDM_lite_FirstRelease_ASN00048|5489|12
daily/CDM_lite_FirstRelease_ASN00049*|daily-CDM_lite_FirstRelease_ASN00049|5489|5
daily/CDM_lite_FirstRelease_ASN00050*|daily-CDM_lite_FirstRelease_ASN00050|5489|7
daily/CDM_lite_FirstRelease_ASN00051*|daily-CDM_lite_FirstRelease_ASN00051|5489|9
daily/CDM_lite_FirstRelease_ASN00052*|daily-CDM_lite_FirstRelease_ASN00052|5489|3
daily/CDM_lite_FirstRelease_ASN00053*|daily-CDM_lite_FirstRelease_ASN00053|5489|6
daily/CDM_lite_FirstRelease_ASN00054*|daily-CDM_lite_FirstRelease_ASN00054|5489|6
daily/CDM_lite_FirstRelease_ASN00055*|daily-CDM_lite_FirstRelease_ASN00055|5489|7
daily/CDM_lite_FirstRelease_ASN00056*|daily-CDM_lite_FirstRelease_ASN00056|5489|18
