  oid  |    table_schema    |            table_name            | row_estimate | total_bytes | index_bytes | toast_bytes | table_bytes |   total    |   index    |   toast    |   table    
-------+--------------------+----------------------------------+--------------+-------------+-------------+-------------+-------------+------------+------------+------------+------------
  6102 | pg_catalog         | pg_subscription_rel              |            0 |        8192 |        8192 |             |           0 | 8192 bytes | 8192 bytes |            | 0 bytes
  2224 | pg_catalog         | pg_sequence                      |            0 |        8192 |        8192 |             |           0 | 8192 bytes | 8192 bytes |            | 0 bytes
  3350 | pg_catalog         | pg_partitioned_table             |            0 |        8192 |        8192 |             |           0 | 8192 bytes | 8192 bytes |            | 0 bytes
  2995 | pg_catalog         | pg_largeobject_metadata          |            0 |        8192 |        8192 |             |           0 | 8192 bytes | 8192 bytes |            | 0 bytes
 41639 | public             | qc_table                         |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
 41665 | public             | uncertainty_table                |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
  3118 | pg_catalog         | pg_foreign_table                 |            0 |        8192 |        8192 |             |           0 | 8192 bytes | 8192 bytes |            | 0 bytes
 41618 | public             | homogenisation_table             |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
  2613 | pg_catalog         | pg_largeobject                   |            0 |        8192 |        8192 |             |           0 | 8192 bytes | 8192 bytes |            | 0 bytes
 41313 | public             | station_configuration_optional   |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
 41208 | public             | source_configuration_optional    |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
 41118 | public             | sensor_configuration_optional    |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
 41043 | public             | profile_configuration_optional   |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
 13746 | information_schema | sql_sizing_profiles              |            0 |        8192 |           0 |        8192 |           0 | 8192 bytes | 0 bytes    | 8192 bytes | 0 bytes
 41739 | public             | header_1800_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 54010 | public             | observations_1860_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
